Date,Installed
12/28/21,3
12/29/21,7
12/30/21,9
12/31/21,10
1/1/22,10
1/2/22,10
1/3/22,11
1/4/22,12
1/5/22,12
1/6/22,13
1/7/22,13
1/8/22,13
1/9/22,14
1/10/22,14
1/11/22,14
1/12/22,15
1/13/22,15
1/14/22,15
1/15/22,15
1/16/22,14
1/17/22,14
1/18/22,14
1/19/22,14
1/20/22,15
1/21/22,16
1/22/22,17
1/23/22,25
1/24/22,34
1/25/22,137
1/26/22,176
1/27/22,226
1/28/22,294
1/29/22,322
1/30/22,346
1/31/22,377
2/1/22,427
2/2/22,465
2/3/22,500
2/4/22,525
2/5/22,547
2/6/22,574
2/7/22,603
2/8/22,648
2/9/22,692
2/10/22,720
2/11/22,739
2/12/22,840
2/13/22,882
2/14/22,951
2/15/22,1032
2/16/22,1073
2/17/22,1117
2/18/22,1149
2/19/22,1165
2/20/22,1195
2/21/22,1218
2/22/22,1234
2/23/22,1242
2/24/22,1263
2/25/22,1277
2/26/22,1297
2/27/22,1400
2/28/22,1532
3/1/22,1582
3/2/22,1635
3/3/22,1660
3/4/22,1702
3/5/22,1732
3/6/22,1750
3/7/22,1777
3/8/22,1797
3/9/22,1807
3/10/22,1884
3/11/22,1963
3/12/22,1995
3/13/22,2068
3/14/22,2162
3/15/22,2210
3/16/22,2258
3/17/22,2345
3/18/22,2433
3/19/22,2549
3/20/22,2610
3/21/22,2717
3/22/22,2880
3/23/22,3061
3/24/22,3221
3/25/22,3387
3/26/22,3533
3/27/22,3693
3/28/22,3884
3/29/22,4035
3/30/22,4185
3/31/22,4303
4/1/22,4464
4/2/22,4528
4/3/22,4606
4/4/22,4644
4/5/22,4765
4/6/22,4877
4/7/22,4957
4/8/22,5024
4/9/22,5119
4/10/22,5224
4/11/22,5289
4/12/22,5348
4/13/22,5397
4/14/22,5450
4/15/22,5470
4/16/22,5499
4/17/22,5515
4/18/22,5613
4/19/22,5653
4/20/22,5650
4/21/22,5642
4/22/22,5628
4/23/22,5682
4/24/22,5723
4/25/22,5810
4/26/22,5858
4/27/22,5892
4/28/22,5942
4/29/22,6018
4/30/22,6070
5/1/22,6170
5/2/22,6315
5/3/22,6390
5/4/22,6454
5/5/22,6469
5/6/22,6516
5/7/22,6629
5/8/22,6716
5/9/22,6735
5/10/22,6787
5/11/22,6791
5/12/22,6816
5/13/22,6854
5/14/22,6898
5/15/22,6948
5/16/22,7014
5/17/22,7038
5/18/22,7120
5/19/22,7136
5/20/22,7170
5/21/22,7188
5/22/22,7236
5/23/22,7307
5/24/22,7328
5/25/22,7337
5/26/22,7371
5/27/22,7394
5/28/22,7534
5/29/22,7622
5/30/22,7682
5/31/22,7743
6/1/22,7756
6/2/22,7749
6/3/22,7731
6/4/22,7735
6/5/22,7763
6/6/22,7766
6/7/22,7787
6/8/22,7806
6/9/22,7843
6/10/22,7867
6/11/22,7855
6/12/22,7975
6/13/22,8087
6/14/22,8165
6/15/22,8356
6/16/22,8410
6/17/22,8899
6/18/22,9424
6/19/22,9701
6/20/22,9849
6/21/22,9994
6/22/22,10146
6/23/22,10255
6/24/22,10404
6/25/22,10494
6/26/22,10549
6/27/22,10635
6/28/22,10717
6/29/22,10776
6/30/22,10851
7/1/22,10858
7/2/22,10883
7/3/22,10901
7/4/22,10895
7/5/22,10896
7/6/22,10912
7/7/22,10908
7/8/22,10857
7/9/22,10858
7/10/22,10839
7/11/22,10876
7/12/22,10877
7/13/22,10848
7/14/22,10843
7/15/22,10804
7/16/22,10836
7/17/22,10836
7/18/22,10909
7/19/22,10949
7/20/22,10930
7/21/22,10902
7/22/22,10847
7/23/22,10850
7/24/22,10895
7/25/22,10893
7/26/22,10849
7/27/22,10862
7/28/22,10855
7/29/22,10857
7/30/22,10918
7/31/22,10930
8/1/22,11009
8/2/22,11053
8/3/22,11078
8/4/22,11071
8/5/22,11045
8/6/22,11037
8/7/22,11074
8/8/22,11136
8/9/22,11155
8/10/22,11191
8/11/22,11261
8/12/22,11333
8/13/22,11430
8/14/22,11473
8/15/22,11541
8/16/22,11586
8/17/22,11636
8/18/22,11640
8/19/22,11629
8/20/22,11673
8/21/22,11775
8/22/22,11820
8/23/22,11871
8/24/22,11906
8/25/22,11904
8/26/22,11957
8/27/22,12109
8/28/22,12136
8/29/22,12220
8/30/22,12383
8/31/22,12469
9/1/22,12647
9/2/22,12747
9/3/22,13012
9/4/22,13345
9/5/22,13681
9/6/22,13951
9/7/22,14042
9/8/22,14105
9/9/22,14154
9/10/22,14216
9/11/22,14289
9/12/22,14385
9/13/22,14489
9/14/22,14646
9/15/22,15530
9/16/22,15769
9/17/22,15905
9/18/22,16068
9/19/22,16171
9/20/22,16216
9/21/22,16246
9/22/22,16329
9/23/22,16302
9/24/22,16283
9/25/22,16260
9/26/22,16284
9/27/22,16198
9/28/22,16181
9/29/22,16233
9/30/22,16212
10/1/22,16229
10/2/22,16260
10/3/22,16292
10/4/22,16308
10/5/22,16306
10/6/22,16290
10/7/22,16243
10/8/22,16252
10/9/22,16302
10/10/22,16365
10/11/22,16344
10/12/22,16392
10/13/22,16344
10/14/22,16337
10/15/22,16374
10/16/22,16311
10/17/22,16298
10/18/22,16397
10/19/22,16413
10/20/22,16376
10/21/22,16426
10/22/22,16471
10/23/22,16491
10/24/22,16490
10/25/22,16502
10/26/22,16481
10/27/22,16439
10/28/22,16387
10/29/22,16346
10/30/22,16345
10/31/22,16353
11/1/22,16338
11/2/22,16308
11/3/22,16224
11/4/22,16185
11/5/22,16168
11/6/22,16188
11/7/22,16151
11/8/22,16131
11/9/22,16171
11/10/22,16196
11/11/22,16189
11/12/22,16218
11/13/22,16218
11/14/22,16234
11/15/22,16251
11/16/22,16213
11/17/22,16186
11/18/22,16206
11/19/22,16222
11/20/22,16253
11/21/22,16241
11/22/22,16209
11/23/22,16280
11/24/22,16231
11/25/22,16171
11/26/22,16145
11/27/22,16166
11/28/22,16310
11/29/22,16348
11/30/22,16369
12/1/22,16394
12/2/22,16400
12/3/22,16433
12/4/22,16456
12/5/22,16475
12/6/22,16511
12/7/22,16468
12/8/22,16492
12/9/22,16500
12/10/22,16511
12/11/22,16480
12/12/22,16400
12/13/22,16409
12/14/22,16417
12/15/22,16388
12/16/22,16494
12/17/22,16527
12/18/22,16585
12/19/22,16606
12/20/22,16572
12/21/22,16537
12/22/22,16468
12/23/22,16370
12/24/22,16328
12/25/22,16289
12/26/22,16216
12/27/22,16145
12/28/22,16057
12/29/22,15899
12/30/22,15796
12/31/22,15775
1/1/23,15816
1/2/23,15984
1/3/23,16151
1/4/23,16236
1/5/23,16339
1/6/23,16394
1/7/23,16514
1/8/23,16642
1/9/23,16812
1/10/23,16929
1/11/23,16986
1/12/23,17045
1/13/23,17117
1/14/23,17163
1/15/23,17303
1/16/23,17351
1/17/23,17313
1/18/23,17368
1/19/23,17367
1/20/23,17310
1/21/23,17311
1/22/23,17338
1/23/23,17351
1/24/23,17312
1/25/23,17260
1/26/23,17251
1/27/23,17296
1/28/23,17302
1/29/23,17435
1/30/23,17559
1/31/23,17725
2/1/23,17767
2/2/23,17812
2/3/23,17882
2/4/23,17926
2/5/23,17921
2/6/23,18004
2/7/23,17959
2/8/23,17959
2/9/23,17920
2/10/23,17869
2/11/23,17908
2/12/23,17921
2/13/23,17946
2/14/23,17940
2/15/23,18056
2/16/23,18113
2/17/23,18131
2/18/23,18182
2/19/23,18228
2/20/23,18298
2/21/23,18255
2/22/23,18232
2/23/23,18190
2/24/23,18167
2/25/23,18287
2/26/23,18306
2/27/23,18363
2/28/23,18409
3/1/23,18443
3/2/23,18406
3/3/23,18360
3/4/23,18321
3/5/23,18325
3/6/23,18377
3/7/23,18286
3/8/23,18226
3/9/23,18234
3/10/23,18250
3/11/23,18242
3/12/23,18238
3/13/23,18301
3/14/23,18306
3/15/23,18316
3/16/23,18335
3/17/23,18383
3/18/23,18403
3/19/23,18450
3/20/23,18507
3/21/23,18526
3/22/23,18523
3/23/23,18567
3/24/23,18555
3/25/23,18586
3/26/23,18556
3/27/23,18609
3/28/23,18654
3/29/23,18714
3/30/23,18637
3/31/23,18654
4/1/23,18703
4/2/23,18755
4/3/23,18805
4/4/23,18805
4/5/23,18806
4/6/23,18776
4/7/23,18713
4/8/23,18707
4/9/23,18622
4/10/23,18509
4/11/23,18595
4/12/23,18632
4/13/23,18660
4/14/23,18645
4/15/23,18686
4/16/23,18787
4/17/23,18839
4/18/23,18924
4/19/23,18922
4/20/23,18916
4/21/23,18876
4/22/23,18827
4/23/23,18772
4/24/23,18722
4/25/23,18628
4/26/23,18587
4/27/23,18663
4/28/23,18585
4/29/23,18592
4/30/23,18571
5/1/23,18573
5/2/23,18580
5/3/23,18513
5/4/23,18536
5/5/23,18612
5/6/23,18663
5/7/23,18654
5/8/23,18677
5/9/23,18709
5/10/23,18676
5/11/23,18619
5/12/23,18546
5/13/23,18529